state,x,y
Andhra Pradesh,-298,-87
Arunachal Pradesh,-23,194
Assam,-69,151
Bihar,-172,136
Chhattisgarh,-246,43
Goa,-397,-78
Gujarat,-440,81
Haryana,-345,206
Himachal Pradesh,-324,261
Jharkhand,-182,93
Karnataka,-374,-91
Kerala,-363,-182
Madhya Pradesh,-324,85
Maharashtra,-377,7
Manipur,-24,122
Meghalaya,-88,134
Mizoram,-36,83
Nagaland,-10,156
Odisha,-206,28
Punjab,-370,241
Rajasthan,-404,156
Sikkim,-125,171
Tamil Nadu,-323,-172
Telangana,-308,-24
Tripura,-61,98
Uttar Pradesh,-274,153
Uttarakhand,-306,225
West Bengal,-145,83
